,word,adult_definition,kids_definition,simplified,similarity
934,stadium,'A large structure for open-air sports or entertainments.','a large sports ground surrounded by rows of seats and usually other buildings',A big field with seats around it and other buildings too.,0.7757313
935,bookshelf,'A piece of furniture almost always with horizontal shelves used to store books.','a shelf that you keep books on','a shelf for books' ,0.90180266
936,Helena,'The capital of the state of Montana.','(1871-1965) a US businesswoman born in Poland who created the famous cosmetics company that carries her name. She began her business in 1902 in Australia and later opened salons (= places for beauty treatments) in London Paris and New York. Her business became a large international company after the First World War. She started the Helena Rubinstein Foundation which gives money for educational projects especially for women and children in New York.',"A businesswoman from Poland started a famous makeup company. She began in Australia and later opened beauty salons in London, Paris, and New York. After World War I, her company grew internationally. She also started a foundation that helps with education projects, especially for women and children in New York.",0.9460906
937,parabola,'A conic section generated by the intersection of a right circular conical surface and a plane parallel to a generating straight line of that surface.','a curve like the path of an object thrown into the air and falling back to earth',The curve is like something thrown up and then coming back down.,0.8060776
938,renown,'The state or quality of having a positive reputation.','the state of being famous and receiving respect because of something you have done that people admire','being famous and respected because people admire something you did',0.9061676
939,zeitgeist,'The spirit characteristic of an age or generation.','the general mood or quality of a particular period of history as shown by the ideas beliefs etc. common at the time',The feelings and ideas of a certain time in history.,0.8277026
940,thulium,'Chemical element with symbol Tm and atomic number 69 silvery white lanthanide.','a chemical element. Thulium is a soft silver-white metal.',There is a metal called Thulium. It is soft and silver-white in colour.,0.7797795
941,acacia,'A shrub or tree of a species that belongs to the genus Acacia.','a tree with yellow or white flowers. There are several types of acacia tree some of which produce a sticky liquid used in making glue.',A tree with yellow or white flowers. It makes sticky glue.,0.8301693
942,accomplice,'An associate in the commission of a crime.','a person who helps another to commit a crime or to do something wrong',Someone who helps another person do bad things.,0.8115359
943,antiparticle,'Particle having the same mass spin isospin as a particle but having all additive quantum numbers opposite to those of its respective particle.','a very small part of an atom that has the same mass as a normal particle but the opposite electrical charge',A tiny piece of an atom that has the same weight as a normal particle but the opposite electric charge.,0.91491127
944,altruism,'The unselfish concern for the welfare of others.','the fact of caring about the needs and happiness of other people and being willing to do things to help them even if it brings no advantage to yourself',You care about others and want to help them even if it doesn't help you.,0.85143936
945,altruistic,'Not selfish concerned for the welfare of others.','caring about the needs and happiness of other people and being willing to do things to help them even if it brings no advantage to yourself',"Helping people and making them happy, even if it doesn't help you, is a big part of being good.",0.82959783
946,subtraction,'An elementary arithmetic operation that is the opposite of addition.','the process of taking a number or amount away from another number or amount','taking away from'.,0.7128674
947,archaeologist,'Someone who studies or works in archeology.','a person who studies archaeology',Person who studies old things.,0.72025526
948,accordion,'A portable keyed wind instrument whose tones are generated by play of the wind from a squeezed bellows upon free metallic reeds.','a musical instrument that you hold in both hands to produce sounds. You press the two ends together and pull them apart and press buttons and/or keys to produce the different notes.',"You hold a special tool in both hands and press parts together and apart, and press buttons to make different sounds.",0.89696467
949,tungsten,'Chemical element with symbol W and atomic number 74 grayish white lustrous transition metal.','a chemical element. Tungsten is a very hard silver-grey metal used especially in making steel and in filaments for light bulbs.',Tungsten is a silver-grey metal that is very hard. It is used in making steel and light bulbs. ,0.8796747
950,kazoo,'A simple musical instrument that adds a buzzing timbral quality to a player\'s voice when one hums into it.','a small simple musical instrument consisting of a hollow pipe with a hole in it that makes a buzzing sound when you sing into it',A small musical instrument makes a buzzing sound when you sing into it.,0.85024047
951,volleyball,'A sport in which two teams separated by a high net use their hands and arms to hit a ball back and forth over the net.','a game in which two teams of six players use their hands to hit a large ball backwards and forwards over a high net while trying not to let the ball touch the ground on their own side',A volleyball game where two teams hit a ball over a net.,0.8115194
952,ytterbium,'Chemical element with symbol Yb and atomic number 70 silvery white lanthanide.','a chemical element. Ytterbium is a silver-white metal used to make steel stronger and in some X-ray machines.',Ytterbium is a silver-white metal used in steel and X-ray machines.,0.8912996
953,rattlesnake,'Poisonous snake of the genus Crotalus known by the rattling tail.','a poisonous American snake that makes a noise like a rattle with its tail when it is angry or afraid',A snake from America makes a rattling noise with its tail when it is angry or scared.,0.8867187
954,acne,'A skin condition usually of the face that is common in adolescents. It is characterised by red pimples and is caused by the inflammation of sebaceous glands through bacterial infection.','a skin condition common among young people that produces many pimples (= spots) especially on the face and neck',"a skin problem that causes many spots on the face and neck, especially in young people.",0.9044133
955,yttrium,'Chemical element with symbol Y and atomic number 39 silvery white transition metal.','a chemical element. Yttrium is a grey-white metal used in magnets.',Yttrium is a grey-white metal used in magnets.,0.8696667
956,locksmith,'A person who makes locks and keys.','a person whose job is making fitting and repairing locks','a person who makes and repairs locks' ,0.93767154
957,acquittal,'A setting free or deliverance from the charge of an offense by verdict of a jury or sentence of a court.','an official decision in court that a person is not guilty of a crime',A judge says someone is not guilty.,0.77521515
958,zirconium,'A chemical element with the symbol Zr and atomic number 40 silvery white transition metal.','a chemical element. Zirconium is a hard silver-grey metal that does not corrode very easily.',Zirconium is a hard metal that does not corrode easily. ,0.85052043
959,abbot,'The head of a monastery of monks.','a man who is the head of an abbey of monks',The head of an abbey of monks.,0.83715636
960,nun,'A female ascetic who chooses to live her life in prayer and contemplation in a monastery or convent.','a member of a religious community of women who promise to serve God all their lives and often live together in a convent',A nun is a woman who promises to serve God all her life and often lives with others in a special house.,0.8498982
961,cocaine,'A crystalline tropane alkaloid used as a drug and stimulus of the central nervous system that is obtained from the leaves of the coca plant.','a powerful drug that some people take illegally for pleasure and can become addicted to. Doctors sometimes use it as an anaesthetic.',Doctors use a strong medicine to help people sleep during operations. Some people take it without permission and get too used to it. ,0.84351003
962,cabinetmaker,'Craftsman who makes furniture and others from wood.','a person who makes fine wooden furniture especially as a job',The person makes fine wooden furniture for a job.,0.85129166
963,sniper,'A person using long-range small arms for precise attacks from a concealed position.','a person who shoots at somebody from a hidden position',A person who shoots at someone from a hidden place.,0.8705546
964,electrician,'Professional in the field of electric installations.','a person whose job is to connect repair etc. electrical equipment','a person who fixes electrical things'.,0.8046552
965,bricklayer,'A craftsman who builds in stone or brick otherwise known as masonry.','a person whose job is to build walls etc. with bricks',A person builds walls with bricks.,0.8049158
966,stonemason,'A craftsman who builds in stone or brick otherwise known as masonry.','a person whose job is cutting and preparing stone for buildings','a person who cuts and prepares stones for buildings'.,0.9184691
967,semen,'The fluid produced by the reproductive organs of a male animal that contains the sperm cells.','the white liquid containing sperm that is produced by the sex organs of men and male animals','the white liquid from the sex organs of men and male animals' ,0.9414726
968,forefather,Person from whom a person is descended whether on the father's or mother's side at any number of generations.,'a person (especially a man) in your family who lived a long time ago',A person (especially a man) in your family from long ago.,0.8645106
969,heterosexuality,'The sexual preference characterised by a romantic or sexual attraction to people of the opposite sex.','the state of being sexually attracted to people of the opposite sex',they liked people of the opposite sex.,0.70996076
970,cleric,'A member of the clergy of a religion one that has trained or ordained as a priest preacher or as another religious professional.','a religious leader especially a Muslim or Christian one',"The priest can't say that he's happy when people are killed because of their race, religion, or where they come from.",0.6624403
971,tautology,'A use of redundant language in speech or writing.','a statement in which you say the same thing twice in different words when this is unnecessary for example ‘They spoke in turn one after the other.’',They spoke one after the other.,0.62665737
972,jargon,'Terminology which is especially defined in relationship to a specific activity profession group or event.','words or expressions that are used by a particular profession or group of people and are difficult for others to understand',"The words that are hard to understand, are used by special groups of people.",0.7861063
973,phonology,'In linguistics the study of the sound systems of specific languages.','the speech sounds of a particular language; the study of these sounds',The way words sound in a language; studying these sounds.,0.85277605
974,pragmatics,In linguistics creation of the explanatory gap between sentence meaning and speaker's meaning.,'the study of the way in which language is used to express what somebody really means in particular situations especially when the actual words used may appear to mean something different',"The study of how people use words to say what they truly mean in different situations, even when the words they use don't exactly mean what they say.",0.9013383
975,paediatrician,'A doctor who specializes in the care of infants and children usually until the age of sixteen.','a doctor who studies and treats the diseases of children',A doctor who treats sick children.,0.7870521
976,teetotaller,'One who abstains; especially one who abstains from the use of alcoholic drinks.','a person who does not drink alcohol',A person who does not drink is not necessarily an excessive non-drinker.,0.8359185
977,ophthalmologist,'A medical specialist who practises ophthalmology.','a doctor who studies and treats the diseases of the eye',The doctor who looks at eyes and makes them better.,0.7334653
978,bah,'An interjection used to express disdain or contempt.','used to show a sound that people make because they do not approve of something','make a face to show you do not like something',0.78548634
979,linguistics,'The scientific study of human language.','the scientific study of language or of particular languages',The study of languages is called philology or linguistics.,0.7301514
980,parakeet,'Any of several slender species of parrot.','a small bird of the parrot family usually with a long tail',The parrot is a small bird with a long tail.,0.87497914
981,morpheme,'The smallest lingual unit that carries a semantic interpretation usually a distinctive collocation of phonemes having no smaller meaningful members.','the smallest unit of meaning that a word can be divided into',What is the smallest part of a word that still has a meaning?,0.79145396
982,dermatologist,'Medical specialist for disorders of the skin the nails and the hair.','a doctor who studies and treats skin diseases',The doctor treats skin diseases.,0.7842065
983,mathematician,'A scientist who practices mathematics.','a person who is an expert in mathematics','a math expert',0.7869384
984,executioner,'The person who carries out corporal punishments on a convict including the death penalty.','a person whose job or role is to kill people as a punishment especially a public official who executes criminals',"a person who kills people as a punishment, like an official who executes criminals.",0.88438785
985,neptunium,'A chemical element with symbol Np and atomic number 93 a silvery radioactive metallic actinide.','a chemical element. Neptunium is a radioactive metal.',Neptunium is a special kind of metal.,0.80432034
986,noose,'An adjustable loop of rope.','a circle that is tied in one end of a rope with a knot that allows the circle to get smaller as the other end of the rope is pulled that can be used to kill somebody by hanging them by the neck',A circle tied to a rope can be used to hurt someone by hanging.,0.8368302
987,oncologist,'A physician specializing in cancer diagnosis and treatment.','a doctor who studies and treats tumours in the body',The doctor studies and treats tumours in the body.,0.84304047
988,forgiveness,'Act of forgiving; act of stopping blaming someone for an offense.','the act of forgiving somebody; the quality of being willing to forgive somebody',to forgive someone; being kind enough to forgive someone.,0.8168973
989,clemency,'Leniency and compassion shown toward offenders by a person or agency charged with administering justice.','kind treatment of somebody when they are being punished; a lack of desire to punish somebody so severely',"It's when someone is being punished, but someone doesn't want to punish them too much.",0.75697196
990,lascivious,'Preoccupied with or exhibiting lustful desires.','feeling or showing strong sexual desire','feeling strongly attracted',0.8101336
991,lewd,'Preoccupied with or exhibiting lustful desires.','referring to or involving sex in a rude and offensive way',talked about sex in a bad way.,0.64123726
992,douche,'A device used to introduce a stream of water into the body for medical or hygienic reasons.','to wash inside the vagina using a stream of water',to wash inside the vagina with water.,0.8563594
993,enclave,'A country or part of a country lying wholly within the boundaries of another.','an area of a country or city where the people have a different religion culture or nationality from those who live in the country or city that surrounds it',"a place inside a bigger place where people have different ways of living, believing or coming from.",0.756799
994,anaconda,'Any of various large non-venomous snakes of the genus Eunectes found mainly in northern South America.','a large South American snake of the boa family that wraps itself tightly around other animals to kill them before eating them',A big snake from South America wraps its body around other animals to kill them before eating them.,0.8782338
995,phishing,'Sending email that falsely claims to be from a legitimate organisation.','the activity of tricking people by getting them to give their identity bank account numbers etc. over the internet or by email and then using these to steal money from them',bad people take money from others by asking for their secret bank numbers on the internet or by email and then using them to steal.,0.91243947
996,emoticon,'A graphical representation either in the form of an image or made up of ASCII characters.','a short set of keyboard symbols that represents the expression on somebody’s face used in email etc. to show the feelings of the person sending the message. For example :-) represents a smiling face (when you look at it with your head on one side).',"A short set of keyboard symbols to show feelings in emails, like :-) for a smiling face.",0.8450805
997,substantive,'A word that can be used to refer to a person place thing quality or idea; a part of speech. It can serve as the subject or object of a verb. For example a table or a computer.','dealing with real important or serious matters',Handling big problems.,0.65904284
998,dongle,'A hardware device utilised by a specific application for purposes of copy protection.','a small device that is used with a computer especially to access protected software or the internet','a special tool that helps us use computers to access safe things online'.,0.7849073
999,nanosecond,'One billionth of a second.','one thousand millionth of a second','a very small part of a second',0.82824045
1000,improvisation,'The act of inventing all or part of a process while it is being performed.','the act of inventing music the words in a play a statement etc. while you are playing or speaking instead of planning it in advance; something that is invented in this way',"The act of making up words in a play while speaking, instead of planning it before.",0.8595981
1001,thermometer,'A device which measures temperature or temperature gradient.','an instrument used for measuring the temperature of the air a person’s body etc.',A tool to measure air or body temperature.,0.84151137
1002,thermostat,'A device used to maintain the temperature of a system at a desired setpoint temperature.','a device that measures and controls the temperature of a machine or room by switching the heating or cooling system on and off as necessary',It is a machine that makes sure a room is not too hot or cold.,0.7807314
1003,geologist,'A scientist who studies the origin history and structure of the earth.','a scientist who studies geology','a person who studies rocks' ,0.902077
1004,necrophilia,'A paraphilia characterized by a sexual attraction to corpses.','sexual interest in dead bodies',Some people are interested in dead bodies in a special way.,0.7137394
1005,cleft,'A thin and usually jagged space opened in a previously solid material.','a natural opening or line for example in the ground or in rock or in a person’s chin (= part of the face below the mouth)',"A natural opening, like a line, in the ground, rock, or a person's chin.",0.8627833
1006,empirical,'Relying upon or derived from observation or experiment.','based on experiments or experience rather than ideas or theories','using facts from tests or real life instead of guesses or ideas' ,0.88363093
1007,foreplay,'A set of intimate acts which takes place before sexual acts are performed between two or more people meant to increase sexual arousal.','sexual activity such as touching the sexual organs and kissing that takes place before people have sex','touching and kissing before people have sex'.,0.88511455
1008,upstage,'Draw attention to oneself away from someone else.','at or towards the back of the stage in a theatre','at the back of the stage in a theatre' (structure intact),0.84881413
1009,chide,'To censure severely or angrily.','to criticize or blame somebody because they have done something wrong',to blame someone for doing something wrong.,0.7986148
1010,latte,'A drink of coffee prepared from one or two shots of espresso mixed with steamed milk and topped with foam.','a drink made by adding a small amount of strong coffee to a glass or cup of hot frothy milk','a drink of coffee and hot milk'.,0.80286896
1011,adultery,'Sex by a married person with someone other than their spouse.','sex between a married person and somebody who is not their husband or wife','wrong to cheat on your husband or wife'.,0.8237181
1012,alfalfa,'(Medicago sativa) A plant grown as a pasture crop.','a plant with small divided leaves and purple flowers grown as food for farm animals and as a salad vegetable',A plant with small leaves and purple flowers grows for animals and salad.,0.87838674
1013,editorial,'An article in a publication giving the opinion of its author on a given topic or current event.','connected with the task of preparing something such as a newspaper a book or a television or radio programme to be published or broadcast',"'helped to make a newspaper, book, TV or radio show ready to be published or broadcast' ",0.9124376
1014,newsreader,'A news presenter whose role it is to read the news.','a person who reads the news on television or radio',a person who reads news on TV or radio.,0.85988283
1015,newscaster,'A presenter of a news bulletin who is a working journalist and news gatherer participanting in compiling the script to be delivered in a news bulletin.','a person who reads the news on television or radio',a person who reads news on TV or radio.,0.85988283
1016,anchorman,'A television personality who presents material prepared for a news program and at times must improvise commentary for live presentation.','a man who presents a live radio or television programme and introduces reports by other people',A man who is on radio or TV and introduces other people is a Presenter.,0.8427945
1017,anchorwoman,'A television personality who presents material prepared for a news program and at times must improvise commentary for live presentation.','a woman who presents a live radio or television programme and introduces reports by other people',A person who talks on the radio or TV and tells us about what others say.,0.8092861
1018,badger,'Any of several carnivorous burrowing animals of the family Mustelidae.','an animal with grey fur and wide black and white lines on its head. Badgers are nocturnal (= active mostly at night) and live in holes in the ground.',A badger is an animal with grey fur and black and white lines on its head. It lives in holes in the ground and is active at night.,0.9404802
1019,anatomist,'One who studies teaches writes on or does research on anatomy.','a scientist who studies anatomy',A person who learns about body parts.,0.7300043
1020,emotion,A person's internal state of being normally based in or tied to their internal (physical) and external (social) sensory feelings.,'a strong feeling such as love fear or anger; the part of a person’s character that consists of feelings',"a strong feeling like love, fear or anger; one's emotions.",0.8975934
1021,trivial,'Of little significance or value.','not important or serious; not worth considering',"It's not important or serious, so it's not worth thinking about.",0.7227008
1022,audiobook,'A recording of the reading of a book.','a recording of a book especially a novel being read aloud made available to download or on a CD',A recording of a book like a novel being read aloud is available to download or on a CD.,0.9180603
1023,aspen,'A kind of poplar tree (genus Populus; section Populus).','a type of poplar tree with leaves that move even when there is very little wind',A kind of tree with leaves that move when it is not very windy.,0.8850813
1024,berry,'A soft fruit which develops from a superior ovary and contains seeds not encased in pits.','a small fruit that grows on a bush. There are several types of berry some of which can be eaten.',A small fruit that grows on a bush. ,0.85682166
1025,tiler,'A person who lays tiles.','a person whose job is to lay tiles',A person who lays tiles.,0.78416336
1026,plasterer,'A person whose occupation is to plaster walls.','a person whose job is to put plaster on walls and ceilings',A person who puts plaster on walls and ceilings.,0.8842977
1027,mother-in-law,The mother of someone's spouse.,'the mother of your husband or wife','your husband's or wife's mother'.,0.8716823
1028,grenade,'A small hand-held bomb designed to be thrown by hand or fired from a grenade launcher.','a small bomb that can be thrown by hand or fired from a gun','a small bomb that can be thrown or fired',0.9603649
1029,syllogism,'An inference in which one proposition (the conclusion) follows necessarily from two other propositions known as the premises.','a way of arguing in which two statements are used to prove that a third statement is true for example: ‘All humans must die; I am a human; therefore I must die.’',"A way of arguing where two statements help prove a third statement is true, like: 'All humans must die; I'm human; so I must die.",0.96161926
1030,biologist,'A scientist who practises biology.','a scientist who studies biology','a biologist' (structure intact),0.6972485
1031,diatribe,'A speech or writing which bitterly denounces something.','a long and angry speech or piece of writing attacking and criticizing somebody/something',A mean and angry writing that criticizes someone or something.,0.8357419
1032,anthropologist,'An specialist in anthropology or someone professionally dedicated to it.','a person who studies the human race especially its origins development customs and beliefs',"Someone who learns about people, where they came from, how they grew, what they do, and what they think.",0.72881263
1033,censorship,'The control and monitoring of content and suppression of unwanted content exercized by a government or another influential organisation.','the act or policy of censoring books etc.',"It was not easy to decide about banning books, because it was a very hard and sensitive job for the government.",0.65831643
1034,hangar,'A structure designed to hold aircraft in protective storage.','a large building in which aircraft are kept',A big place where planes are kept.,0.7990166
1035,metrication,'The introduction of the SI metric system as the international standard for physical measurements.','the process of changing to using the metric system',The process of changing to use the metric system.,0.89456016
1036,hexagonal,'Having six edges or having a cross-section in the form of a hexagon.','having six straight sides and six angles',A hexagon has six sides and six angles.,0.71241575
1037,heptagonal,'Having seven edges or having a cross-section in the form of a heptagon.','having seven straight sides and seven angles',It has seven straight sides and seven angles.,0.77242374
1038,decagonal,'Having ten edges or having a cross-section in the form of a decagon.','having ten straight sides and ten angles',"Euclid, a great mathematician, said a decagon has ten straight sides and ten angles.",0.7260045
1039,polygonal,'Having multiple edges or having a cross-section in the form of a polygon.','having at least three straight sides and angles and usually five or more',Having at least three straight sides and angles and usually five or more.,0.92715985
1040,cottonwood,'A number of species of tree in the genus Populus (poplars) typically growing along watercourses.','a type of North American poplar tree with seeds that are covered in hairs that look like white cotton',A type of tree with white hairy seeds.,0.83411425
1041,coyote,'(Canis latrans) A member of the Canidae family native to North America.','a North American wild animal of the dog family',Animal in North America.,0.70782834
1042,sculptor,'a person who practices the art of sculpture.','a person who makes sculptures',The person makes sculptures.,0.7722325
1043,hegemony,'The dominance of one group usually a nation over other groups.','control by one country organization etc. over other countries etc. within a particular group',One country's group has power over other groups.,0.81472147
1044,campus,'The area in which a college or university and surrounding buildings are situated.','the buildings of a university or college and the land around them',The university buildings and land around them.,0.78583854
1045,dodecagon,'A polygon with 12 sides.','a flat shape with twelve straight sides and twelve angles','a shape with twelve straight sides and twelve corners' ,0.98460156
1046,hendecagon,'A polygon with eleven sides and eleven angles.','a flat shape with eleven straight sides and eleven angles',It is a shape with eleven straight sides and eleven angles.,0.8629605
1047,decagon,'A polygon with ten sides.','a flat shape with ten straight sides and ten angles','a shape with ten sides and ten angles',0.97157836
1048,nonagon,'A polygon with nine sides.','a flat shape with nine straight sides and nine angles',A shape with nine straight sides and nine angles.,0.9152553
1049,snowman,'A manlike figure formed out of snow.','a figure like a person that people especially children make out of snow for fun',A snowman is a figure made out of snow for fun.,0.7707591
1050,presumptuous,'Having extreme self-confidence and overbearing pride.','too confident in a way that shows a lack of respect for other people',He was too sure of himself and didn't respect others.,0.7150564
1051,cocksure,'Having extreme self-confidence and overbearing pride.','confident in a way that is annoying to other people and that they might find offensive',acts in a way that annoys others and might offend them.,0.81227386
1052,hexagon,'A polygon with six sides.','a flat shape with six straight sides and six angles','a hexagon shape'.,0.7773671
1053,quadrilateral,'A polygon with four sides.','a flat shape with four straight sides','a square shape with four straight sides' ,0.9894762
1054,parallelogram,'A quadrilateral that has two sets of opposite parallel sides.','a flat shape with four straight sides the opposite sides being the same distance apart at every point and equal to each other',A square is a shape with four straight sides where every opposite side is equal and the same distance apart.,0.862703
1055,rhombus,'A parallelogram in which all of the sides are of equal length.','a flat shape with four equal sides and four angles which are not 90°',A square has four equal sides and four angles which are not 90°.,0.87289083
1056,moreover,'In addition to what has been said.','used to introduce some new information that adds to or supports what you have said previously',Added more information to what I said before.,0.76290584
1057,watchword,'A prearranged reply to the challenge of a sentry.','a word or phrase that expresses somebody’s beliefs or attitudes or that explains what somebody should do in a particular situation',A word or phrase that explains what to do in a situation.,0.87821263
1058,illuminance,'Density of luminous flux received per unit of area expressed in lux.','a measurement of the amount of light that reaches an area of a surface',The amount of light that reaches a surface.,0.85332185
1059,enhance,'To make better more useful more beautiful through modification.','to increase or further improve the good quality value or status of somebody/something',to make something or someone even better.,0.687762
1060,astronomer,'A scientist who studies astronomy or astrophysics.','a scientist who studies astronomy',"'a person who looks at stars' uses words like 'person', 'looks', and'stars' that are more familiar to children.",0.6795242
1061,programmer,'A person who creates or modifies computer software.','a person whose job is writing computer programs',A programmer writes computer programs.,0.7349107
1062,crucifix,'An ornamental or symbolic representation of Christ on a cross.','a model of a cross with a figure of Jesus Christ on it as a symbol of the Christian religion',a cross with Jesus on it for Christianity.,0.8418799
1063,eggnog,'An alcoholic beverage based on milk eggs sugar nutmeg and rum brandy or whisky.','an alcoholic drink made by mixing eggs milk and sugar with alcohol such as rum or brandy',"A drink made with eggs, milk, sugar, and rum or brandy.",0.8390435
1064,nutmeg,'Hard aromatic seed of the nutmeg tree (Myristica fragrans) used as spice when grated or ground.','the hard seed of a tropical tree originally from South-East Asia used in cooking as a spice especially to give extra taste to cakes and sauces',A seed from a special tree in South-East Asia tastes good in cakes and sauces.,0.89225346
1065,quixotic,'Acting with the desire to do noble and romantic deeds without thought of realism or practicality.','having or involving ideas or plans that show imagination but are usually not practical','ideas that show imagination but are not practical' ,0.886096
1066,penultimate,'Next to the last in a sequence.','immediately before the last one',Right before the last one.,0.7849476
1067,librarian,'A curator of a library.','a person who is in charge of or works in a library',The person who takes care of books in a library.,0.8085209
1068,leek,'A vegetable (Allium ampeloprasum var. porrum) having a bulb and long leaves and with a milder flavour than the onion.','a vegetable like a long onion with many layers of wide leaves that are white at the bottom and green at the top. Leeks are eaten cooked. The leek is a national symbol of Wales.',A leek is like a long onion with many layers of leaves that are white at the bottom and green at the top. People eat leeks cooked. It is a symbol of Wales.,0.9561729
1069,goldsmith,'A metalworker who creates juwellery and objects made of gold and other precious metals.','a person who makes or repairs things made of gold',Someone who makes or fixes golden things.,0.76354456
1070,economist,'An individual who studies develops and applies theories and concepts from economics and writes about economic policy.','a person who studies or writes about economics',A person who writes about money things.,0.7870923
1071,neurologist,'Medical specialist in neurology (the function and disease of the nerves and brain).','a doctor who studies and treats diseases of the nerves','a doctor who helps people with nerve problems'.,0.82780707
1072,sea-urchin,'Zoophyte with a calcareous shell ornated with mobile spines.','a small sea creature with a round shell that is covered with spikes',A sea creature with spikes.,0.76911473
1073,lychee,'The fruit of a Chinese tree Litchi chinensis that has a bright red fruit with a single stone surrounded by a fleshy white aril.','a small Chinese fruit with thick rough red skin and that is white inside with a large seed',"The fruit is small, Chinese, with thick red skin and a large seed.",0.86217403
1074,endocrinologist,'A person who studies or practices endocrinology.','a doctor who studies the endocrine system and hormones',A doctor who studies hormones.,0.7476602
1075,onomatopoeia,'A word intended to represent a sound.','the fact of words containing sounds similar to the noises they describe for example hiss; the use of words like this in a piece of writing',The use of words like 'hiss' that sound like the noises they describe in writing.,0.8910841
1076,bumbling,'Lacking grace or skill in manner or movement or performance.','behaving in a confused way often making careless mistakes','often making careless mistakes in a confused way',0.9352647
1077,gauche,'Lacking grace or skill in manner or movement or performance.','shy or uncomfortable when dealing with people and often saying or doing the wrong thing',"She was not always good at dealing with people, so she worked hard at it.",0.70013225
1078,arbiter,'A person appointed or chosen by parties to determine a controversy between them.','a person with the power or influence to make judgements and decide what will be done or accepted','a person who can make decisions and decide what is done or accepted',0.93339276
1079,geriatrician,'A medical specialist who practises geriatrics.','a doctor who studies and treats the diseases of old people',The doctor helps old people who are sick.,0.762736
1080,envious,'Bitterly disappointed not to have something that someone else owns.','wanting to be in the same situation as somebody else; wanting something that somebody else has',wanting to have what another person has.,0.79264045
1081,millet,'A group of small-seeded species of cereal crops widely grown around the world for food and fodder.','a type of plant that grows in hot countries and produces very small seeds. The seeds are used as food mainly to make flour and also to feed to birds and animals.',A plant grows in hot countries and makes tiny seeds. People use these seeds to make flour and feed birds and animals.,0.93325865
1082,radiology,'The branch of medical science dealing with the medical use of X-rays or other penetrating radiation.','the study and use of different types of radiation in medicine for example to treat diseases',doctors use different kinds of radiation to treat illnesses.,0.79368466
1083,misogynist,'Someone with an exaggerated aversion towards women.','a person who hates or dislikes women or believes they are not as good as men',Someone who dislikes girls or thinks they are not as good as boys.,0.8798288
1084,misanthrope,'Someone who dislikes people in general.','a person who hates and avoids other people',Someone who dislikes others and avoids them.,0.8424897
1085,radiologist,'A person who is skilled in or practices radiology.','a doctor who is trained in radiology',"'a doctor who knows about x-rays' using the following words from the prioritize word list: doctor, know.",0.7609279
1086,tulip,'Any of numerous perennial bulbous flowering plants of the genus Tulipa.','a large brightly coloured spring flower like a cup in shape on a tall stem',"A large, brightly colored spring flower on a tall stem.",0.80728984
1087,barley,'A strong cereal of the genus Hordeum or its grains often used as food or to make malted drinks.','a plant grown for its grain that is used for making food beer and whisky; the grains of this plant',A plant grown for its grain.,0.7927821
1088,daffodil,'A group of hardy mostly spring-flowering bulbs of the genus Narcissus.','a tall yellow spring flower that is like a trumpet in shape. It is a national symbol of Wales.',The flower is like a trumpet and is a symbol of Wales.,0.9038579
1089,buckwheat,'(Fagopyrum esculentum) An annual plant with clusters of small pinkish white flowers and small edible triangular seeds which are used whole or ground into flour.','small dark seed that is grown as food for animals and for making flour',The little dark seed grows food for animals and makes flour.,0.86664546
1090,weblog,'A frequent and chronological publication of comments and thoughts on the web.','a website where an individual person or people representing an organization write regularly about recent events or topics that interest them usually with photos and links to other websites that they find interesting',a website where people write about what's happening and what they like with pictures and links to other interesting websites.,0.86858433
1091,hyperbole,'An extreme exaggeration or overstatement; especially as a literary or rhetorical device.','a way of speaking or writing that makes something sound better more exciting more dangerous etc. than it really is',s a way of talking or writing that makes things sound more exciting or dangerous than they are.,0.89410216
1092,bison,'A wild heavy bison of the species Bison bison having a broad massive horned head.','a large wild animal of the cow family that is covered with hair. There are two types of bison the North American (also called buffalo) and the European.',"There are two types of bison, the North American and the European.",0.8273511
1093,psychiatry,'A medical specialty which exists to study prevent and treat mental disorders in humans.','the study and treatment of mental illnesses','the study of sicknesses in the mind'.,0.84883744
1094,gadzooks,'A mild swear expressing surprise or indignation.','used in the past to show that somebody is surprised or annoyed','showed surprise or anger in the past',0.80822897
1095,thumbtack,'A nail with a large head.','a short pin with a large round flat head used especially for fastening paper to a board or wall',a small pin with a big round flat top used to attach paper to a board or wall.,0.8963393
1096,inchoate,'Recently started but not fully formed yet.','just beginning to form and therefore not clear or developed',It is just beginning to form and is not clear or developed yet.,0.8134744
1097,pathologist,'A specialized doctor who treats pathologies.','a doctor who studies pathology and examines dead bodies to find out the cause of death',A doctor who looks at bodies to find out why someone died.,0.85496026
1098,psychiatrist,'A doctor specialized in psychiatry.','a doctor who studies and treats mental illnesses',The doctor studies and treats mental illnesses.,0.798118
1099,entertainer,'A person who tries or whose job is to please entertain or amuse.','a person whose job is to sing dance or perform for people so that they enjoy themselves',"A person who sings, dances or performs for people to make them happy.",0.8570294
1100,agglomeration,'An extended city or town area comprising the built-up area of a central place (usually a municipality) and any suburbs or adjacent satellite towns.','a group of things put together in no particular order or arrangement; the fact of putting things together in this way',A collection of things placed together without a plan.,0.75264704
